from_node_id,to_node_id,maxspeed,length,speed_kph,travel_time,bearing,geometry,highway_type,out_degree,in_degree,lanes
64,63,0,143.751,48.6,10.6,280.9,"LINESTRING (-8.6030152 41.1545708, -8.603123800000001 41.1546047, -8.604592500000001 41.15478, -8.604695 41.1548147)",4,2,2,2
64,54,0,151.744,46.2,11.8,196.3,"LINESTRING (-8.6030152 41.1545708, -8.6031212 41.1542775, -8.6034373 41.1534803, -8.6035241 41.1532611)",5,2,2,0
65,66,0,187.677,44.4,15.2,197.1,"LINESTRING (-8.605578599999999 41.1551419, -8.6056176 41.1550805, -8.605781500000001 41.1548264, -8.6058273 41.1547476, -8.6059339 41.1544936, -8.6059704 41.1544163, -8.6060052 41.1543219, -8.606061 41.1542332, -8.6062122 41.153958, -8.6062335 41.1538976, -8.606230999999999 41.1536531, -8.6062294 41.1535512)",3,2,1,1
65,63,0,83.254,39.2,7.6,116.2,"LINESTRING (-8.605578599999999 41.1551419, -8.6055017 41.1550766, -8.604695 41.1548147)",0,2,1,0
66,4411,0,15.096,44.4,1.2,227.0,"LINESTRING (-8.6062294 41.1535512, -8.6063125 41.1535009, -8.606360799999999 41.153459)",3,2,2,0
66,371,0,143.055,48.6,10.6,271.4,"LINESTRING (-8.6062294 41.1535512, -8.607843300000001 41.1535827, -8.6079375 41.1535829)",4,1,2,2
67,3874,0,45.8,48.6,3.4,195.9,"LINESTRING (-8.6026294 41.155553, -8.602779399999999 41.1551569)",4,1,2,2
67,444,0,187.034,48.6,13.9,16.7,"LINESTRING (-8.6026294 41.155553, -8.6025887 41.1556541, -8.6024885 41.1559069, -8.602195399999999 41.1566361, -8.6019875 41.1571641)",4,3,2,2
68,3232,0,207.432,46.2,16.2,112.8,"LINESTRING (-8.5997196 41.1532952, -8.5996218 41.1532331, -8.599575 41.1532023, -8.5995416 41.153186, -8.599509899999999 41.1531727, -8.599082299999999 41.1530352, -8.598309499999999 41.1528177, -8.5975401 41.1526012, -8.5974968 41.1525888, -8.5974466 41.1525745)",5,2,3,0
68,3230,0,179.818,46.2,14.0,187.6,"LINESTRING (-8.5997196 41.1532952, -8.5997401 41.153182, -8.599994499999999 41.1517517, -8.600004999999999 41.1516924)",5,2,3,2
69,68,0,138.737,46.2,10.8,188.4,"LINESTRING (-8.599477800000001 41.1545295, -8.599690499999999 41.1534223, -8.5997196 41.1532952)",5,2,2,2
70,5,80,235.167,80.0,10.6,103.0,"LINESTRING (-8.586275000000001 41.1667121, -8.585881000000001 41.1666361, -8.585237599999999 41.166587, -8.584670600000001 41.1665489, -8.584457499999999 41.1665245, -8.5842759 41.1664861, -8.584012299999999 41.1664215, -8.583762500000001 41.1663314, -8.5835683 41.166241)",1,2,2,4
